file_name,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,playcount,listeners
100 Blaze feat. Koba LaD - Binks.mp3,"100 Blaze,  feat. , Koba LaD",Binks,,2019-06-28,209.37142857142857,123.046875,0.1144499406218528,4.0,2709.3307542920115,2698.141592715879,0.1071231239720394,-180.87841796875,64.26475524902344,15.875846862792969,17.67331886291504,-2.0243849754333496,6.5671234130859375,-4.639216423034668,4.390073776245117,-9.77450942993164,-1.4428340196609497,-3.3552722930908203,0.1573971956968306,-3.88908314704895,236876.16666666698,25177.333333333314
13 Block feat. Niska - Tieks.m4a,13 Block feat. Niska,Tieks,,,208.7241723356009,143.5546875,0.1850030571222305,6.0,2310.112398426866,2409.0341470162325,0.1016864599458204,-101.85753631591795,88.07896423339844,-6.106950283050537,4.992903709411621,-5.790283679962159,-4.307727336883545,-5.316349029541016,4.830601215362549,-7.470329761505127,3.7023494243621826,-3.917045116424561,0.6818602681159973,-3.253122329711914,11.0,7.0
1da Banton - No Wahala.mp3,1da Banton,No Wahala,,2021-07-23,165.54,103.359375,0.3066186010837555,4.0,1741.4708069703554,2387.0784289835688,0.047293742743808,-121.79300689697266,105.66918182373048,35.38117218017578,22.73537254333496,15.746328353881836,8.195473670959473,3.9173345565795894,1.8047528266906736,-10.802915573120115,6.859402179718018,-6.107592582702637,3.1393702030181885,-1.8822227716445925,897694.0,132997.0
24kGoldn feat. iann dior - Mood.mp3,"24kGoldn,  feat. , iann dior",Mood,electronic;hip_hop;pop,2020-07-24,150.4130612244898,92.28515625,0.1577723771333694,0.0,2255.03452540602,2428.6155652184307,0.0856612356085526,-112.4233627319336,97.13059997558594,0.19565480947494507,19.044408798217773,-0.23190969228744507,3.2722246646881104,-1.278038501739502,3.1021504402160645,-5.78846549987793,5.270813465118408,-6.0995073318481445,3.775904893875122,-1.017835259437561,1034278.0,150799.75
2Ru3 - The People (Official Music Video).mp3,2Ru3 (true),The People (Official Music Video),hip_hop;rap,,243.6,123.046875,0.1170556545257568,4.0,1779.5724255063822,1894.418324340454,0.0874424039763931,-147.477294921875,120.109130859375,-19.414093017578125,29.168272018432617,-0.9364979267120361,5.41361141204834,-1.8108513355255127,-1.0926598310470583,-2.7170629501342773,3.948864221572876,-5.4485297203063965,1.773017644882202,-4.039106369018555,2.0,1.0
4Keus - Focus.mp3,4Keus,Focus,,2020-01-03,184.536,103.359375,0.2002872228622436,2.0000000000000004,2409.0127665741675,2414.714561848634,0.1057249842782507,-104.83614349365234,95.03893280029295,-6.075919151306152,6.009653091430664,5.375665187835693,-3.002590417861939,-3.254997968673706,-0.15039232373237632,-8.660615921020508,1.037871241569519,-0.6497098803520203,-3.207026720046997,-1.7103546857833862,24601.0,2804.0
4Keus - Paris la nuit.mp3,4Keus,Paris la nuit,,2020-01-03,217.6,117.45383522727272,0.22323939204216,11.0,2394.39634632668,2529.003492973664,0.0961256470104489,-94.51132202148438,88.22802734375,3.872406244277954,8.250700950622559,-6.8934388160705575,-3.9745066165924077,-4.7183918952941895,-4.875717639923095,-9.86152458190918,2.308321952819824,-5.666962146759033,-3.0002477169036865,-2.058065891265869,25162.0,2785.0
4Keus - Vie d'artiste.mp3,4Keus,Vie d'artiste,,2020-01-03,241.55428571428573,123.046875,0.2968473732471466,7.0,2301.557209609299,2619.855721568929,0.0811941424390479,-127.2680206298828,81.41608428955078,20.36117935180664,17.931333541870117,5.640330791473389,13.257515907287598,2.0193967819213863,6.243147373199463,1.9491256475448608,6.994579792022705,2.5289714336395264,6.376352787017822,2.379650831222534,35450.0,3591.0
4Keus - Charbon.mp3,4Keus,Charbon,,2020-10-30,240.03918367346932,129.19921875,0.2239493280649185,4.0,2037.2077271197147,2126.4554337408804,0.093693499963719,-127.85539245605467,113.82258605957033,21.03011703491211,17.35720443725586,6.8643059730529785,-1.8740695714950557,-2.91138243675232,3.145864486694336,-9.095523834228516,1.114519119262695,-3.050732135772705,0.46095550060272206,-6.864731788635254,3537.0,448.99999999998545
4Keus - Tu nous connais.mp3,4Keus,Tu nous connais,,2020-10-30,166.81795918367348,143.5546875,0.2482840269804,4.0,2519.9946876092254,2511.58933567372,0.1068867308436532,-68.11455535888672,81.0228271484375,0.30240747332572937,18.7657413482666,3.265222787857056,8.743156433105469,-0.23169474303722382,-2.756718635559082,-11.114821434020996,-1.51575767993927,-6.1701340675354,-1.003955960273743,-5.793275356292725,5468.0,772.9999999999854
