,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,duration_sec,playcount,listeners
count,749,749,153,658,749.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,726.0,726.0,726.0
unique,489,722,127,381,,,,,,,,,,,,,,,,,,,,,,,
top,Ninho,Le prix à payer,pop,2022-07-01,,,,,,,,,,,,,,,,,,,,,,,
freq,38,3,15,17,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,211.930500732755,123.99795224430716,0.1978306837609028,5.846256684491979,2224.60418070434,2381.2922247094334,0.08998192463668592,-127.65893009384686,93.40278405684201,8.516895667226477,15.300059927537799,4.332635524825107,3.2309172153166297,-2.9814197697034257,1.8224628486067933,-6.898586664595367,0.7637820694415661,-3.8202755163905566,-0.19567997143963964,-3.1563799455970463,162.46556473829202,1484505.1460055097,122675.44214876032
std,,,,,46.232761275106604,25.543753686469767,0.0653194173423723,3.5892371312522022,441.6089252427258,330.6980215198967,0.024990354452959572,58.45204788250255,19.98281215935831,15.471130051948457,10.875098189308524,8.773397841689937,7.697196749794094,7.22037149803851,6.458795565442863,6.412937051468699,5.387018635750773,4.858619698182844,4.6266661462238945,4.133826999696885,99.96681269383049,7272940.867017718,334512.236244878
min,,,,,60.693333333333335,54.978390957446805,0.0143143404275178,0.0,338.4419572372879,714.7164560274445,0.0210061088065982,-500.4456787109375,42.71792221069336,-76.77763366699219,-18.48796844482422,-34.403316497802734,-26.81943321228028,-31.26295280456543,-24.03904151916504,-24.49053001403809,-15.662582397460938,-18.51206398010254,-17.529823303222656,-15.74110221862793,0.0,1.0,1.0
25%,,,,,183.32734693877552,107.666015625,0.15529084578156466,3.0,1949.0504868840967,2228.803266295931,0.07355312666287728,-153.87941360473633,80.82776260375977,-1.0584824979305267,8.227391242980957,-1.0493645668029785,-1.078097611665726,-7.61077880859375,-2.399848222732544,-10.973140239715576,-3.0147944688796993,-6.994251847267151,-3.197104513645172,-5.682020902633667,142.25,3942.75,783.75
50%,,,,,206.5432,123.046875,0.20177453756332392,6.0,2245.5316501663383,2419.6301801837944,0.08722622992453555,-120.36704635620117,91.5588150024414,9.4602632522583,14.693905353546143,4.5571653842926025,3.3228750228881836,-2.792984127998352,2.016131639480591,-6.669228792190552,0.7914661765098572,-3.43025803565979,-0.24420455098152155,-3.0660672187805176,189.5,44152.5,7018.0
75%,,,,,232.6204081632653,143.5546875,0.24369260668754575,9.0,2519.3598105976134,2602.0211446533094,0.10600649240216228,-91.81290054321288,104.4399242401123,18.790263652801517,21.85480308532715,10.023544788360596,7.918653607368469,1.9252715706825256,5.900636672973633,-2.4190934896469116,4.389140605926514,-0.5124301165342331,2.7167524099349976,-0.6584165394306183,217.0,260054.75,30684.25
max,,,,,485.694693877551,198.76802884615384,0.4032304584980011,11.0,3628.020532421473,3108.857942576004,0.1818577438685178,5.152275085449219,193.98123168945312,61.30892181396485,65.96747589111328,34.34532928466797,34.903892517089844,19.55060195922852,25.0853328704834,12.107708930969238,15.342724800109863,11.454961776733398,14.865878105163574,12.21741008758545,901.0,165341473.0,2279827.0
